core_clause_id	fgravegow_clause_id	clause_sha256
201	79971	30A599E8CD0EF86D82927E0409B58E3B42A583926241A6001880BC3E288E8CF0
202	80295	50562EC306C7D4E28C2AF3DC83CCD3447D6270EAF930AC4EEF05B367D7BF5EE8
203	80583	89DBCA2A977D5435F9BE637EA527C2C38E0A08136A5E6D9C2976DE08915397EC
204	80595	067B4DA9DCA92322FBFEE5410E2091EF71AA33E27A1FFF827F1B9083AEBB583F
205	85418	7970ED770AEA9FD78236A97338FB7685502114F049BE2DC76362B575D30AF894
206	87538	C21651C17700072DF32F902859C87C61899220214F3FD1276ED9808B64684113
207	90171	327302F1319F1F6682679B734DC63D9022259F623378E1C371CAB1298E2ED0CD
208	90495	8929A68CD5385E22D602AE89D5C0A56FA3F831A3912C2E0B237FD938991F3F34
209	90507	35F957A07C1A20F2EAE033B2715C2912B2D8CD4C5A41D523D59D8F4E60ADECBB
210	90795	4A11E39D11E27B3F9E75354AEF8EA4903FE2009314061D90343DAE3A6E9F06AE
211	95631	69571E5528A9D8BD9E8C828FC49E96128A91BC854AC2898505F940173B57F311
212	96098	53FF22119A9FC2A022FF6B0CDBC7D116FF341DD734DAFE6081610EC48B137746
213	96421	2D063B5D6356545925FE6A276371C1D62AEABAF39073E50AE59D93FB9086F05A
214	97538	03569CC952AA85EBB4820A81495E5E15E5435A7792C67506E0478309D1982AE6
215	97742	BF81BA2B0205D1A83BA6CA4EA776A77EEE5D86C49393BFBA76A2EFB95C1F9769
216	100371	1CB1ADB9B43F919CC9767B06247C0C90E3620D5916873ABBC6E70B18F271E37F
217	100383	E0E305521B957AAFDC4399E2A744F7FDE2E00664408F50610115353F293D9B20
218	100407	7C223F4CBAF18FDBD334B44DB8A9D52BD18864780E69539BD166427F96E552A4
219	100419	15F2E81C5C50ED1EE7678DD57C054722FB9BD21B4F3B5D41853EEAC9CA3C0333
220	100707	118AFC3A64956E90ED900F2D7F0D4BE03318342F8ACA80A2E9B53B105DE0D43F
221	100983	DCC554A5817DBAECCA3DBEC2C2BCB06487BB828E6AB30888A6B0B7E05F433E7C
222	100995	B7C0F43B197888801D042702284CCFA93EB277ABCD9D41BC47D84066CDF19842
223	108367	CA1B2CC7E7648D7064F7D9FDABAB3B8934EC14E61ED836B78F285A961FD9163F
224	117847	EA5B53C2B74D8F81F1562B229BA4B1D1FDC684B899358379C6BF5776F9232DC5
225	124537	E488C87F737805106893830C1E944CF49D6A3E0FC3209BA2A424CA7A5361C27E
226	125402	C2F9765FB50CE6FD1A0B429F2AA504B97D54DAC1D1A460F19595F1801F3E0064
227	126814	DB677985408940917C5681473D2C901AA57A9160D11FEE7257B852F6330911F3
228	128907	FE4794A398EC7489611FDB264B1D077BE028F4BF1152F22861196A6911FB3967
229	128919	889A48A8B54EA62EE3E98B92544CB3819B445156B4780B65103E99BD8BE9B6CE
230	128943	7AE4B176F541AB4084511E82AC542504AFD6847E0F2F584D7E5E29D60E230A7F
231	128955	ADE9881B0D711CE1D182F5AB04927120CA34F2B8642B2102336C7D2976F41132
