core_clause_id	fcuj__clause_id	clause_sha256
198	317141	CF3E3175768DA9E4CC48388B574F40CD95CCA95739B516E4D4222100BDAD7BA4
199	317605	A7C5D486EDFD6A0B1F6D3B9C0C364B890F90C276A7B76DFE8BCD8CEDABF6B9EE
200	317781	689D17D6B9858A6143A7E0922B97BE271FDB9EC6FA245F155950FFB1D86C5223
201	321094	F2B8E3430262BFF86F8B158468573CFF80AD11E5B569A61D64A487C960306D34
202	321764	8AF1A3A694F4096F7D50B82E538E2FA321AD1AE212E139D3BBB6680FF8D6ECC4
203	321821	15F516B470BF5725F909F66ACC1F66CB2C5EBA976D59F204E96CA10C129CE52A
204	322285	79A001DD73D58D15D56B6FDAF5204659CC6710055FC0F603504CF19852BBAF82
205	322461	123A6516B9C1F3DABBE631DF6FF7D6F1D40021503925987A45897FE72C650418
206	327955	39396AF4E8D1D912F6F6C006A2CDDD5AFCEA10CB8B0DE5CA44C92B8FEF8B1563
207	339489	0DE77A9CB3EEA635589F1E8EFBFD4A39C7876E074B93BE7711CD524B44769377
208	351036	2D0BE2A6696BC788F84ECFAB292005F612316497370FBFE2232E4CB5FE7E151A
209	360247	A03D9A94D10E150B9942C4FF300CFE21C1E68BA62018F2C87C890790B616305F
210	361236	837BED462C67C28E209453217775934386782CEAE8D54877E3E6809F8E12CFC2
211	371436	CAE2EA31078F4B92F6850AD13CB98883EEF7C0940E2F0CEF2F5957A8270973FF
212	380046	6162FA4CA305CCFC7E23FE9AD24003A4D26EA0775341FD3F9E0C97C226E868BF
213	392149	0E4BD1793EC0572B74CCFA4C260D49CF83F9DEB9EB0CFDA76FAAAA68A235BCB8
214	398044	845E212AB9504DE2F13D9BF3C51B9837B2EE9DE4FA38E4CB9B9731CB676A6624
215	409280	085BCE32A55D4FEB715BDFF6281590DAF4526EEE6445C381CBCE835315CC39E4
216	418444	BFEABE42540DD4F270D5F43AAC5089E6F487FFCC5DF3F814D1B4ABC5F81F42A3
217	427220	E770538C8FFDE71605DE5EEFC0EFB68012A5262705D868B7E347D31B7220D284
218	428644	E115764AE9202D8BF940BE1E73BD51066C30AF4B2981343E4C2AEB8BA878A6BD
219	429364	66463684A2BB4F9E6E1701FC37B96F7E5E533658D81C81255593F1A747459928
220	430927	EEFA00A38259241F0BF45A351AA04C02AAD4EAB815B62489E63418084EB7B54D
221	432949	C5CB08B6ED25E497DF3ADB8ADC8AE8C5F3285054082DD3521EA48F5D365B3C70
222	433260	FA91D1DB46559233C0F0FDD6D4D2A879B0855132B894725A1C0D22424EB97455
223	433353	095787CE62E17D5B2A89625B4F5FF303CE2CE3BF12EC1A4759D16394CF781832
224	438534	2B7075AE30B306AB6084FD8D0258D79932BC7703D70EC13D69358E187DA8825C
225	440483	53416B00AB639C19223749E937226D3B19443DF0A095A98F4266A3724F277D4B
226	441127	D93C0D6B205862EBEFA392B85A1A4B0A8E6F8009828573CB83F98B1FD798BD90
227	443197	010DD629A33425AFC77B688AF617FF990B82173A8E8A2F087773EC3B786D3193
228	455229	2D00A724BD9B36F3D813A18F809FEA0A98C9F1E0D0466C82BD06E7C9F85EAF48
229	470730	C632325485B0B720594C656EBF418225BD7D6484EF68D1B176A7C183E7243391
230	500351	4065CE9AC2B88F725BFB6D5A29F1018DDD3D9CBF3D34671A09505DA1BEF1FB7B
231	501375	87DD3E4619D9ED12F5A6BEB8911F88D83729BEC7925B1E260F160D0ACD7F0361
232	513813	2DE5D2D69761E23855580DD4AA11B72B848632B24CCE43D00E0FFC2EFF150EE5
233	534213	BB3810313A78680C079E216A3840E862FB89D62FBA1BBE314BE7A0D57B142FFC
234	534421	802B4C40A9A7E346B6C5AAA772C2671DFF33484C926C2A4AEFD96776A1854611
235	544621	2ED254D30186EC079516316F6D32FED03BE7117541DC30D8B666D561FA12410C
236	564813	7D4766378B7161AC6A3C51C55B64AEF10CA3FC287FF91A70B8743EA53105611E
237	572705	BDD519D3E55CC740C9B693589B93B3CD8CC66C2F7B1383318C767522F43A2E35
238	576447	FA68C491AB78DAD5F94B5C3C365421F36E20C259A5AF16EA14A0B811BA7F9DD1
239	577366	857245D48EA7563C20EFF61587C562F0942A0671782A4F0CDDAD0768DE48C124
240	592846	C9A328E3623E1DD1058D9CC5C2C3E3786A763F717E835640D6BF86DDD6531D9A
241	605302	22E4B81B1F7A4AD02AC4650055475E20DB71DD46F75B25405FC6169DDEC582E0
242	605992	1D9B5B1BE7F4C9D52A3D2A1C210148621D0ADE9665FEE2B57E52C1C37639811E
243	620853	B518CB0B894548071A4032EB8F203019FC8DE72380DD4D98F988DF6A88CF375D
244	621951	F33F0A2564AC02E1840107391CC4CF0F3D3B80CE78698BE70EA7E912CAF93EC5
245	627704	6BF9C6B354B22A13C4E67D35A18F5A545E2935ED819453788F342736332E286B
246	628305	9338A930B4B63B9BB48E9FF6773770B914F756FD53653ED6DD9956ED9A57647C
247	636358	DE98CEBD03C294AE239BFFBAABE4693C60439EB21EDA488817E5E5E992113BD6
248	636697	9D54817BF6CF27B29DA5EAE997DA5BA0E57C6CFE65F5E086011BDE690176E02E
249	650241	93BD60E8EA06BEDD7867BFB1F028CA84453BFD83A1CBB35E5B1C7D0E2EDAA436
250	653806	390CD21CA710F353EE35E9AD67F5139DB143EBFECB1991DFFAD7AA388EE64107
251	667864	2E6F71E28238DA4BC41C1A8ABC714154EC1ADDDD3C0AE2B503D715A636B633CB
252	683863	00344CF21A09D7357EB11BE1C8B59898A10E0B764B5E223984D5D389860E33BF
253	733416	2A3CC852D53D9587A7AF170A19F222DA34380B460171CC1F5444FB4FD8C12FC0
254	743616	1D78C56B25C4FB4026B1831AA03DA4D7D10B12C41E7EDA348A45AC41E5AEF1B0
255	757235	549250426AECA41E1273D9BE4756B3A1A0F2736289F00A35F0F40FF79F0DD39E
256	763755	54DB315D5DE99C059A4D05759197B8184AEB01E2B920299BF45D0D797924E922
257	764016	35E68FEEF9E5A32BC49B769F80B3C4F4DC8C0CFDAC24835EF313CDB453176B1A
258	772800	21FDC24D7F1A8EE345953B5B9D563764AC8016AC3B42B527F08AE10B20405E85
259	784416	2BFAD7A873809CB6BC666D6BA6EA64024DE1959566B46CC147215BE3C9158C82
260	784483	B3744629BA489ED106E4624B99481F644B0C67A7409125453CD1C6DEEEF9C75E
261	786657	91663B9A03BBC1BEEDD1D30A3D854A353177F76A42FE83155F6756D9F0753A0D
262	833612	6375EF86398BF162F24D3AA5AA900BC67EA48FDAC25C2AC4B51A5A3F9732530D
263	837440	6BEFC1C3581D2AD2CBB16A6DD0D2051A2153C3853D2214951D5CEB0428E7B5B7
264	851440	B2C77EE83D8A903272680622F0359FCDD5378AAAA3A913B44E5E3D0CDC414DA6
265	896461	2FA3A8FD0D1D17C72BD7CB13BD98D814FB220A62FE15B0743714D654975E54C5
266	896967	7AD680AC9A6238D1251CEF15B7029C4308ACADE5A4B35294E08C4B01512AFAC2
267	896968	415A98C8FF810C11A9DD7B42E048AED19C558D72005166BBAD0E34E94313F67B
268	897879	766DC6FC179BBABDAEBA5578F9E28CA32A595F21A929CB341B666A097495518B
269	898132	248B747907A05FE87C637A77E067CFF1795B753988B5465C0B4154C543888F54
270	898133	2A1F24325CFBF421A0BB3EF47761A684F19E6E82533E520BD691B92EA93BA3E5
271	914721	C7EDC7974679632244D9DE7EB71D4DC4CC05E9EEF52BB171239A1F8F24B43A2C
272	915042	66985AA70F750176B1784D4E1121DE36782AABA7C9DA42201DA818734D9C2AE5
273	917575	4699459E6F29D7762CC25C58FD4036C117130B53E7D85F649CB8E42E490CA34D
