core_clause_id	fodpo_clause_id	clause_sha256
115	494	9BDCBB9C8109061C0F1DB84C385872E1E532CFF8208269BC8C383BD0263C9BE3
116	496	6BAB29E03632EC69B2581DF8C219CFC4E2B6061D37D5C2414993402D0BECD093
117	498	30680AD3B638407544E5F6EAEF7D12CE31B02B3754FC6A36457DFD58355BF584
118	500	9E02D09BC30FB9D4BD6C9C2684E26C0B91B82E933C681690CAD5BCECA84F34B6
119	501	EFD76AAF6FE35C039AC3C2994B6F7596C1F511E5B879DFEF9BFE9E1FB39002B7
120	503	1920B9402255181B2B30249A705C8399B8B0522D549911A13805E091F819B1B7
121	505	6693839567BE61429B47B62941EDA4289C82C7B05957097707ED80C31CA93F22
122	507	527760F4602DDD8BE9779BFDEF2C26B7BC2AECA7E4E6347265A1E47A5A243497
123	509	5124CE3B412F5FD6CEFA04B1577ADC0DB5B60E744CDCA72AEE698313467602A6
124	511	1FA58A6D4A8B90163CBB04E1B1D8949F07941BC2D08005CA6EF3C7B2410CE8C6
125	515	9714169B7D2C3605C64BA31988C4CFEC81C7C600022FEE5969A06A592DCBEA18
126	517	B45B54E3D04E03F74FCA1DECC4B27DBEF66B1AC9547D6C5360B68ACB5D95F95F
127	519	232F10DFA72B8B7438DFDABA1D4AC933E239EA1483899A4918FDA5694D88C8B8
128	539	E48B89834209F72649526E41F2F07C1EC966CDA0ED88FDDD28835917DB6295F2
129	541	58D341E46400649F8FDDE4B8277E80813BB45CCE15C3F90AE856F29D6EFC4AF9
130	543	480C70ECFCC90FA3E210DAD41275D08EE9BC74D67D984F01CF1D1FFED3727009
131	545	AD720A87D7E88AE2BFC205EFF561DE8AAB030C8FCDDB74D1C57166748FDAAA9B
132	547	A8BBD59D7A09B8F17DF225E4D2A5BB0B3228F49895DA610224D0BBB54119F5D9
133	549	5C8D6CCE232988F5A0CCA0905473456739B8EBBCA0461C6E0D575FB19F1F88D6
134	559	10AEB0D778A7767195AF66EE1B4C078CA66C2BBF5D56FE42F3C637066C02BC1C
135	561	A17D573656F4237DCCD865727137615689B309DC6121D6F88C8AC685574A8B28
136	563	781CD7AA642C1458477C44120ED2DDB943AC4D422B3B7F28F17F04AC5B363199
137	565	8C9C2EC23DC331C47662F79F01D3F7E77BDED87020E3EEB6179F46B99B099BE2
138	567	5349A9CF45FDCB9DE82E37525F14DFEAC57321A10EBF49882A226F33D983BAF2
139	569	1AE57E30AD6AA0AE4748F84E61547D1952A1614EE7B206A6A85396CB007E1D76
140	572	51D3CE8990F684830744D25AF197A62B767EB7D2F02D2280AD3328446CED91C6
141	574	E5FAE7D125C473F59F38E3F706AB3875AA60910A951ED572BB808E0EDD33A40C
142	576	05725BB3C8B97F8E46FDB4DEBDD8D33A26A2901140D8B588D0359082122012F2
143	578	AC0A79C85D02C0E07B54A54EE3D04AC90D3815DD0487DF600D66B7B75337792B
144	580	CCFD9DDEE4D82B2E358C44B186450E3DD8ECEBE1EA484DFEEA713725056B68A7
145	582	13112B85B302CD46314B8162EE270C53D1AFEBBCFC2C6C2AC36D349B4FE20858
146	583	8B7C9B529D561D7F0F4B4C8AB82E380923FBD78830D54BEBAF378A40299150E0
147	585	F481F3E6B8228160292BBCE64009664A4A69B329FA0684A8550F1E2328C74AC0
148	587	0582A842583D2AD802F003FB670C296DF25EB6C81E047CD77D2A2C2C849F6BF4
149	589	E5B4C08A735E43C7747AFD0D70C6652C30F500D88CCE26ADA035E36F222DC083
150	600	DDA09B2710A4D86A80A5E5BD958CF17EAAE3386715E7BA3FB8B1A5F072937F61
151	602	17080095A3FFE87487C99E825C2239C7D86BED86F84537463C03994BB560A3F8
152	606	E4FEB490075C1FBC515FC68A308E57013439772552B1CCDF5EB570E037994D41
153	608	ACF62497C1489017B2E3768C84D54E3F8718F49DBBE836B9B2504EDFF6D6CE1B
154	610	65DCDA7936AEAFB2FBCE97C7AF91A93D79232970B79DA82758B2668F87A5566C
155	611	4496D782018F401F90CE5B71DDE181CCF5DA71BD63EBE366AC67B200B7E08F05
156	613	705754147022122F495C4A3DA47F4B38817D7AC4EEB35EBA471D57870F24F34B
157	615	F7431A82B8BAD8789A66698B1EEDE84AA7B652D256900DBDDBD1A376B00574A6
158	617	F8CE5612C4587DE00ABCF33C9617BB30D02FE5D1E1D54928DAE43258F95291B6
159	619	A58F28A4735C2AF746D66535EFE26E6612E78D2F9A6949F59E44D6CFC5EC23E2
